,year,duration,popularity
279,1923,213667,6
280,1923,171373,6
281,1923,193760,6
282,1923,179840,5
283,1923,200200,4
284,1923,183200,6
285,1923,180600,5
286,1923,191800,4
287,1923,187707,4
288,1923,180307,6
289,1923,177307,4
290,1923,174373,5
291,1923,172667,4
292,1923,183133,5
293,1923,176400,5
294,1923,174893,6
295,1923,184133,5
296,1923,161560,6
297,1923,193667,5
298,1923,195960,4
299,1923,191400,6
300,1923,211800,4
301,1923,191173,5
302,1923,176333,6
303,1923,178827,6
304,1923,191307,5
305,1923,213000,5
306,1923,194293,6
307,1923,208040,5
308,1923,171533,5
309,1923,192200,6
310,1923,172973,5
311,1923,194267,5
312,1923,173173,4
313,1923,198467,5
314,1923,177093,5
315,1923,178707,4
316,1923,197627,3
317,1923,186467,4
318,1923,185973,4
319,1923,207000,4
320,1923,192760,4
321,1923,172187,0
322,1923,139707,0
323,1923,152947,0
324,1923,174387,0
325,1923,120093,0
326,1923,160907,0
327,1923,141040,0
328,1923,204400,0
329,1923,175541,0
330,1923,166587,0
331,1923,184427,0
332,1923,204173,0
333,1923,183133,0
334,1923,167680,0
335,1923,170800,0
336,1923,174667,0
337,1923,178147,0
338,1923,180387,0
339,1923,162064,0
340,1923,156587,0
341,1923,150640,0
342,1923,206000,0
343,1923,151467,0
344,1923,173427,0
345,1923,153147,0
346,1923,171107,0
347,1923,146827,0
348,1923,185853,0
349,1923,171933,0
350,1923,127893,0
351,1923,171187,0
352,1923,130064,0
353,1923,153187,0
354,1923,176200,0
355,1923,157867,0
356,1923,188840,0
357,1923,143073,0
358,1923,147069,0
359,1923,184059,0
360,1923,150570,0
361,1923,209058,0
362,1923,160787,0
363,1923,130347,0
364,1923,138387,0
365,1923,161071,0
366,1923,165787,0
367,1923,182440,0
368,1923,185067,0
369,1923,124056,0
370,1923,179987,0
371,1923,164867,0
372,1923,145973,0
373,1923,201400,0
374,1923,117944,0
375,1923,176147,0
376,1923,170667,0
377,1923,145427,0
378,1923,115069,0
379,1923,188067,0
380,1923,139733,0
381,1923,136800,0
382,1923,194533,0
383,1923,140013,0
384,1923,124613,0
385,1923,173067,0
386,1923,414749,0
387,1923,173960,0
388,1923,138173,0
389,1923,130064,0
390,1923,146693,0
391,1923,115160,0
392,1923,186080,0
393,1923,256981,0
394,1923,198507,0
395,1923,135053,0
396,1923,180062,0
397,1923,187933,0
398,1923,177173,0
399,1923,128547,0
400,1923,144680,0
401,1923,182907,0
402,1923,134060,0
403,1923,230910,0
404,1923,186693,0
405,1923,170040,0
406,1924,148493,12
407,1924,206000,13
408,1924,133200,11
409,1924,169867,7
410,1924,178773,7
411,1924,181933,6
412,1924,193000,6
413,1924,161800,7
414,1924,169000,5
415,1924,185000,6
416,1924,171227,4
417,1924,211987,4
418,1924,189000,5
419,1924,202000,4
420,1924,181173,4
421,1924,196000,3
422,1924,175720,4
423,1924,172000,3
424,1924,181267,2
425,1924,185667,4
426,1924,207000,3
427,1924,151693,2
428,1924,166333,3
429,1924,253800,2
430,1924,355440,2
431,1924,187400,1
432,1924,181000,1
433,1924,168000,1
434,1924,184000,2
435,1924,177933,3
436,1924,186000,2
437,1924,173000,2
438,1924,176800,2
439,1924,181427,1
440,1924,163000,2
441,1924,156293,0
442,1924,132787,0
443,1924,170533,0
444,1924,176880,0
445,1924,134360,0
446,1924,177693,0
447,1924,199667,0
448,1924,150909,0
449,1924,170667,0
450,1924,167040,0
451,1924,134840,0
452,1924,144253,0
453,1924,154653,0
454,1924,188147,0
455,1924,151000,0
456,1924,195200,0
457,1924,203427,0
458,1924,176533,0
459,1924,200067,0
460,1924,1031014,0
461,1924,176520,0
462,1924,154893,0
463,1924,170173,1
464,1924,283389,0
465,1924,162827,0
466,1924,164533,0
467,1924,170973,0
468,1924,166699,0
469,1924,173467,0
470,1924,180667,0
471,1924,313707,0
472,1924,164320,0
473,1924,172333,0
474,1924,161933,0
475,1924,170307,1
476,1924,190707,0
477,1924,500787,0
478,1924,162507,0
479,1924,152387,0
480,1924,162293,0
481,1924,197640,0
482,1924,194760,0
483,1924,148173,0
484,1924,167560,0
485,1924,176747,0
486,1924,168027,0
487,1924,180427,0
488,1924,167120,0
489,1924,171600,0
490,1924,172160,0
491,1924,326093,0
492,1924,148760,0
493,1924,188400,0
494,1924,193960,0
495,1924,180533,0
496,1924,159307,0
497,1924,191147,0
498,1924,174640,0
499,1924,186600,0
500,1924,189133,0
501,1924,165213,0
502,1924,188347,0
503,1924,170067,0
504,1924,166667,0
505,1924,179240,0
506,1924,164093,0
507,1924,185853,0
508,1924,133947,0
509,1924,196560,1
510,1924,186240,0
511,1924,158853,0
512,1924,175893,0
513,1924,207333,0
514,1924,171827,0
515,1924,172987,0
516,1924,170533,0
517,1924,204053,0
518,1924,173693,0
519,1924,159200,0
520,1924,168373,0
521,1924,172707,0
522,1924,199533,0
523,1924,449480,0
524,1924,148120,0
525,1924,170800,0
526,1924,153973,1
527,1924,177348,0
528,1924,169253,0
529,1924,182773,0
530,1924,161373,0
531,1924,153613,0
532,1924,159440,0
533,1924,153240,0
534,1924,175200,0
535,1924,141733,0
536,1924,644027,0
537,1924,172493,0
538,1924,206693,0
539,1924,126307,0
540,1924,176240,0
541,1924,176067,0
542,1924,147267,0
543,1924,275667,0
544,1924,189547,0
545,1924,175640,0
546,1924,164507,0
547,1924,169253,0
548,1924,156160,0
549,1924,140547,0
550,1924,181173,0
551,1924,203480,0
552,1924,362587,0
553,1924,136320,0
554,1924,171747,0
555,1924,188067,0
556,1924,192267,0
557,1924,185160,0
558,1924,170253,0
559,1924,178733,0
560,1924,201253,0
561,1924,183573,0
562,1924,171413,0
563,1924,193267,0
564,1924,177747,0
565,1924,170587,0
566,1924,156587,0
567,1924,155427,0
568,1924,163293,0
569,1924,97493,0
570,1924,169307,0
571,1924,172333,0
572,1924,173375,0
573,1924,128667,0
574,1924,171320,0
575,1924,322587,0
576,1924,139760,0
577,1924,178693,0
578,1924,171000,1
579,1924,190627,2
580,1924,182067,0
581,1924,175280,0
582,1924,192680,0
