,SongID,duration,popularity,year,duration_sec
106,Bad Vibes ForeverXXXTENTACION Featuring PnB Rock & Trippie Redd,150475.0,80.0,2019,150.475
107,On ChillWale Featuring Jeremih,214035.0,78.0,2019,214.035
108,Sanguine ParadiseLil Uzi Vert,243976.0,83.0,2019,243.976
110,Hot NowYoungBoy Never Broke Again,128413.0,78.0,2019,128.413
111,"EarfquakeTyler, The Creator",190066.0,85.0,2019,190.066
113,One Man BandOld Dominion,186240.0,81.0,2019,186.24
114,MEGATRONNicki Minaj,190746.0,75.0,2019,190.746
115,Racks In The MiddleNipsey Hussle Featuring Roddy Ricch & Hit-Boy,233277.0,76.0,2019,233.277
117,A Holly Jolly ChristmasBurl Ives,135533.0,80.0,2017,135.533
119,CallaitaBad Bunny & Tainy,250533.0,91.0,2019,250.533
121,Sicko ModeTravis Scott,312820.0,88.0,2018,312.82
122,Do You RememberChance The Rapper Featuring Death Cab For Cutie,236685.0,66.0,2019,236.685
123,Whiskey GlassesMorgan Wallen,234346.0,80.0,2019,234.346
125,We WereKeith Urban,189104.0,73.0,2019,189.104
126,Hot Girl Bummerblackbear,185093.0,95.0,2019,185.093
127,XXLDaBaby,153863.0,71.0,2019,153.863
128,LiarCamila Cabello,207038.0,89.0,2019,207.038
129,Hate MeTrippie Redd Featuring YoungBoy Never Broke Again,144770.0,76.0,2019,144.77
130,Paper RingsTaylor Swift,222400.0,76.0,2019,222.4
131,REALLYDaBaby Featuring Stunna 4 Vegas,139500.0,70.0,2019,139.5
132,everything i wantedBillie Eilish,245425.0,97.0,2019,245.425
133,JuicyDoja Cat & Tyga,202333.0,82.0,2019,202.333
134,Lil BabyYoung Thug,149040.0,82.0,2019,149.04
136,When The Party's OverBillie Eilish,196077.0,90.0,2018,196.077
138,Love Ain'tEli Young Band,186118.0,73.0,2019,186.118
140,Good As HellLizzo,159735.0,84.0,2019,159.735
141,Wow.Post Malone,149546.0,89.0,2019,149.546
143,Queen Of MeanSarah Jeffery,189397.0,71.0,2019,189.397
144,MotivationNormani,193837.0,84.0,2019,193.837
145,Right BackKhalid Featuring A Boogie Wit da Hoodie,254999.0,78.0,2019,254.999
146,7 RingsAriana Grande,178626.0,91.0,2019,178.626
147,"Night FallsDove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",188217.0,69.0,2019,188.217
148,"The LondonYoung Thug, J. Cole & Travis Scott",200106.0,83.0,2019,200.106
150,HappierMarshmello & Bastille,214289.0,90.0,2018,214.289
152,Who Needs LoveTrippie Redd,158532.0,79.0,2019,158.532
153,Miss Me MoreKelsea Ballerini,192840.0,69.0,2019,192.84
155,CloutOffset Featuring Cardi B,205803.0,79.0,2019,205.803
157,Knockin' BootsLuke Bryan,199382.0,76.0,2019,199.382
159,Never Really OverKaty Perry,223523.0,86.0,2019,223.523
161,Jingle Bell RockBobby Helms,130973.0,89.0,1958,130.973
163,We BackJason Aldean,197160.0,71.0,2019,197.16
164,CandyDoja Cat,190920.0,86.0,2019,190.92
165,TalkKhalid,197573.0,83.0,2019,197.573
167,Adore YouHarry Styles,207133.0,91.0,2019,207.133
168,Please MeCardi B & Bruno Mars,200889.0,79.0,2019,200.889
169,I Forgot That You ExistedTaylor Swift,170640.0,79.0,2019,170.64
170,EasyDaniLeigh Featuring Chris Brown,186586.0,78.0,2019,186.586
171,High HopesPanic! At The Disco,190946.0,87.0,2018,190.946
173,Worth ItYK Osiris,189253.0,76.0,2019,189.253
175,OFF THE RIPDaBaby,115609.0,72.0,2019,115.609
176,What's The MoveYoung Thug Featuring Lil Uzi Vert,251080.0,73.0,2019,251.08
177,No IdeaDon Toliver,153750.0,91.0,2019,153.75
178,Heart On IceRod Wave,159669.0,81.0,2019,159.669
179,BoyfriendAriana Grande & Social House,186106.0,85.0,2019,186.106
180,Before I Let GoBeyonce,240776.0,66.0,2019,240.776
182,"ChinaAnuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",301714.0,93.0,2019,301.714
183,"SolteraLunay, Daddy Yankee & Bad Bunny",266086.0,86.0,2019,266.086
185,Out Of LuckLil Tecca,163266.0,73.0,2019,163.266
186,Love MeLil Tecca,117013.0,84.0,2019,117.013
187,Die For MePost Malone Featuring Future & Halsey,245266.0,83.0,2019,245.266
188,It All Comes Out In The WashMiranda Lambert,214786.0,65.0,2019,214.786
189,By My LonelyKevin Gates,130612.0,69.0,2019,130.612
190,Some Of ItEric Church,195146.0,67.0,2019,195.146
192,FallingTrevor Daniel,159381.0,97.0,2019,159.381
193,SuicidalYNW Melly,222997.0,88.0,2019,222.997
194,Walk Me HomeP!nk,177390.0,75.0,2019,177.39
196,All To MyselfDan + Shay,169920.0,73.0,2019,169.92
198,South Of The BorderEd Sheeran Featuring Camila Cabello & Cardi B,204466.0,92.0,2019,204.466
199,"Eastsidebenny blanco, Halsey & Khalid",173799.0,84.0,2019,173.799
200,Follow GodKanye West,104591.0,87.0,2019,104.591
202,Fear InoculumTool,620101.0,71.0,2019,620.101
203,Immortal21 Savage,254723.0,83.0,2019,254.723
204,Beautiful PeopleEd Sheeran Featuring Khalid,197866.0,90.0,2019,197.866
205,Call You MineThe Chainsmokers & Bebe Rexha,217640.0,82.0,2019,217.64
207,It's The Most Wonderful Time Of The YearAndy Williams,151933.0,89.0,2017,151.933
209,Feliz NavidadJose Feliciano,182066.0,81.0,2017,182.066
211,Like A RodeoKane Brown,201730.0,70.0,2019,201.73
212,You Need To Calm DownTaylor Swift,171360.0,86.0,2019,171.36
213,Into The UnknownPanic! At The Disco,189132.0,82.0,2019,189.132
214,I KnowPost Malone,141413.0,77.0,2019,141.413
215,Beauty In The BenzTory Lanez Featuring Snoop Dogg,237452.0,73.0,2019,237.452
216,Here Comes Santa Claus (Right Down Santa Claus Lane)Gene Autry,150266.0,78.0,2019,150.266
218,Christmas Tree FarmTaylor Swift,228026.0,83.0,2019,228.026
219,Make No SenseYoungBoy Never Broke Again,148629.0,84.0,2019,148.629
220,LoverTaylor Swift,221306.0,86.0,2019,221.306
221,Bad GuyBillie Eilish,194087.0,95.0,2019,194.087
223,Up All NightKhalid,157220.0,88.0,2019,157.22
224,Look At Her Now.Selena Gomez,162595.0,89.0,2019,162.595
225,Tip Of My TongueKenny Chesney,199413.0,74.0,2019,199.413
226,Big StepperRoddy Ricch,175169.0,74.0,2019,175.169
227,WoahLil Baby,183011.0,87.0,2019,183.011
228,Heartache MedicationJon Pardi,209109.0,73.0,2019,209.109
229,KinfolksSam Hunt,181933.0,76.0,2019,181.933
230,Rescue MeMarshmello Featuring A Day To Remember,237203.0,68.0,2019,237.203
231,Nobody But YouBlake Shelton Duet With Gwen Stefani,194866.0,67.0,2019,194.866
232,Pure WaterMustard & Migos,192470.0,84.0,2019,192.47
234,Small TalkKaty Perry,161962.0,76.0,2019,161.962
235,PressCardi B,143791.0,74.0,2019,143.791
237,223'sYNW Melly & 9lokknine,176640.0,87.0,2019,176.64
238,homecoming queen?Kelsea Ballerini,167796.0,74.0,2019,167.796
239,Dancing With A StrangerSam Smith & Normani,171029.0,88.0,2019,171.029
241,"Otro TragoSech, Darell, Nicky Jam, Ozuna & Anuel AA",287773.0,87.0,2019,287.773
242,Just UsDJ Khaled Featuring SZA,221378.0,72.0,2019,221.378
244,Every HourKanye West Featuring Sunday Service Choir,112239.0,74.0,2019,112.239
245,SouthboundCarrie Underwood,202853.0,68.0,2019,202.853
246,Only HumanJonas Brothers,183000.0,86.0,2019,183.0
248,LoyalPARTYNEXTDOOR Featuring Drake,197973.0,85.0,2019,197.973
249,RumorLee Brice,198440.0,76.0,2019,198.44
251,SurfYoung Thug Featuring Gunna,184093.0,70.0,2019,184.093
252,My Oh MyCamila Cabello Featuring DaBaby,170746.0,93.0,2019,170.746
253,Trust IssuesDrake,281518.0,68.0,2019,281.518
254,The Christmas Song (Merry Christmas To You)Nat King Cole,192160.0,86.0,1960,192.16
256,6 KissTrippie Redd Featuring Juice WRLD & YNW Melly,199436.0,84.0,2019,199.436
257,What She Wants TonightLuke Bryan,186988.0,72.0,2019,186.988
258,"Baguettes In The FaceMustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",174100.0,82.0,2019,174.1
259,ME!Taylor Swift Featuring Brendon Urie,193000.0,85.0,2019,193.0
261,There He GoDaBaby,143295.0,69.0,2019,143.295
262,Going BadMeek Mill Featuring Drake,180522.0,86.0,2018,180.522
264,Won't Be LateSwae Lee Featuring Drake,218709.0,76.0,2019,218.709
265,Jerry SprungerTory Lanez & T-Pain,233546.0,81.0,2019,233.546
266,Like It's ChristmasJonas Brothers,200880.0,84.0,2019,200.88
267,Big Boy DiamondsGucci Mane Featuring Kodak Black & London On Da Track,151481.0,75.0,2019,151.481
268,JuiceLizzo,195144.0,82.0,2019,195.144
270,Into The UnknownIdina Menzel & AURORA,194848.0,88.0,2019,194.848
271,Carter SonYoungBoy Never Broke Again,163930.0,72.0,2019,163.93
272,BLOWEd Sheeran With Chris Stapleton & Bruno Mars,209120.0,71.0,2019,209.12
273,SanctuaryJoji,180018.0,81.0,2019,180.018
274,Best Part Of MeEd Sheeran Featuring YEBBA,243266.0,75.0,2019,243.266
275,Staring At The SunPost Malone Featuring SZA,168280.0,79.0,2019,168.28
276,Truth HurtsLizzo,173325.0,89.0,2019,173.325
278,Wish WishDJ Khaled Featuring Cardi B & 21 Savage,202625.0,74.0,2019,202.625
280,Mood SwingsA Boogie Wit da Hoodie,156893.0,77.0,2019,156.893
281,Self ControlYoungBoy Never Broke Again,185865.0,80.0,2019,185.865
282,Dirty IyannaYoungBoy Never Broke Again,252311.0,72.0,2019,252.311
283,BetterKhalid,229320.0,81.0,2018,229.32
285,Cross MeEd Sheeran Featuring Chance The Rapper & PnB Rock,206186.0,78.0,2019,206.186
287,Blinding LightsThe Weeknd,201573.0,96.0,2019,201.573
288,Light It UpYoung Thug,209253.0,63.0,2019,209.253
289,Wake UpTravis Scott,231963.0,78.0,2018,231.963
291,Look What God Gave HerThomas Rhett,168960.0,75.0,2019,168.96
293,In ControlYoungBoy Never Broke Again,181436.0,73.0,2019,181.436
294,Take What You WantPost Malone Featuring Ozzy Osbourne & Travis Scott,229573.0,88.0,2019,229.573
295,Buy My Own DrinksRunaway June,206293.0,63.0,2019,206.293
296,PROLLY HEARDDaBaby,143225.0,69.0,2019,143.225
297,"Loco ContigoDJ Snake, J. Balvin & Tyga",185194.0,89.0,2019,185.194
298,MyselfPost Malone,158120.0,78.0,2019,158.12
299,LalalaY2K & bbno$,160626.0,92.0,2019,160.626
300,BodySummer Walker,193840.0,72.0,2019,193.84
301,Con CalmaDaddy Yankee & Katy Perry Featuring Snow,193226.0,88.0,2019,193.226
303,Good VibesChris Janson,165586.0,66.0,2019,165.586
304,Gold RosesRick Ross Featuring Drake,345160.0,70.0,2019,345.16
305,London BoyTaylor Swift,190240.0,75.0,2019,190.24
306,HomesickKane Brown,205400.0,75.0,2019,205.4
307,Lights UpHarry Styles,172213.0,87.0,2019,172.213
308,Lord AboveFat Joe & Dre Featuring Eminem & Mary J. Blige,294774.0,67.0,2019,294.774
309,WaterKanye West Featuring Ant Clemons,168419.0,74.0,2019,168.419
310,Hell RightBlake Shelton Featuring Trace Adkins,207480.0,73.0,2019,207.48
311,In My RoomFrank Ocean,133680.0,80.0,2019,133.68
312,PotentialSummer Walker,173120.0,67.0,2019,173.12
313,Middle ChildJ. Cole,213593.0,86.0,2019,213.593
315,Mac 10Trippie Redd Featuring Lil Baby & Lil Duke,127741.0,68.0,2019,127.741
316,Mother's DaughterMiley Cyrus,219080.0,78.0,2019,219.08
318,SheHarry Styles,362653.0,83.0,2019,362.653
319,NightmareHalsey,231998.0,77.0,2019,231.998
321,No GuidanceChris Brown Featuring Drake,260640.0,85.0,2019,260.64
323,Snake SkinTrippie Redd,186944.0,71.0,2019,186.944
324,Futsal Shuffle 2020Lil Uzi Vert,198912.0,91.0,2019,198.912
325,Remember The NameEd Sheeran Featuring Eminem & 50 Cent,207760.0,78.0,2019,207.76
326,BanditJuice WRLD & YoungBoy Never Broke Again,189322.0,93.0,2019,189.322
327,GoodbyesPost Malone Featuring Young Thug,174853.0,91.0,2019,174.853
